iter	AUC	Logloss
0	0.8141388833	0.6843576157
1	0.8298128653	0.6760259563
2	0.8389185242	0.6675026608
3	0.841698963	0.6594044191
4	0.8419409539	0.6515797462
5	0.8435956856	0.644243954
6	0.8440939403	0.637187194
7	0.8441313835	0.6307564891
8	0.8441622464	0.6249090544
9	0.844271981	0.6187173927
10	0.8457472818	0.6131948901
11	0.8454930571	0.6078350839
12	0.8460649006	0.6026841572
13	0.8459563708	0.5975556615
14	0.8462518388	0.5926441996
15	0.8463103207	0.5879303241
16	0.8461376554	0.583967643
17	0.8464517523	0.5795457602
18	0.8462671312	0.5756467007
19	0.8470910679	0.5715124461
20	0.8476637456	0.5675319472
21	0.8479197313	0.5642618638
22	0.8483210413	0.5606919647
23	0.8484649754	0.557515864
24	0.8484170591	0.5546906475
25	0.8485715589	0.5515495825
26	0.8488268958	0.5487820482
27	0.8486563622	0.546233971
28	0.8488600757	0.5437508792
29	0.848969903	0.5413624303
30	0.8489627666	0.5390277188
31	0.8492453518	0.5369091115
32	0.8495627853	0.5344387945
33	0.8498999598	0.5324178909
34	0.8498386975	0.5306487547
35	0.8505082271	0.5283829299
36	0.8505284317	0.5264038528
37	0.8507293647	0.5243748775
38	0.8507436376	0.5228132595
39	0.8507745932	0.5212133807
40	0.8509678337	0.5196242843
41	0.8513509781	0.5179753335
42	0.8515256824	0.5163965788
43	0.8517744389	0.5146465761
44	0.8519648063	0.5131842467
45	0.8520276442	0.5118935699
46	0.8522758447	0.5105826418
47	0.8525157966	0.5093126402
48	0.8528122841	0.5078452118
49	0.8529006093	0.5066591179
50	0.8530110854	0.5056337247
51	0.8533604012	0.5042651561
52	0.853494233	0.5030832587
53	0.8535905289	0.5019652275
54	0.8539186206	0.500742615
55	0.854269234	0.4997173813
56	0.8542244689	0.498843749
57	0.854499825	0.4979118536
58	0.8546565491	0.4969820971
59	0.8549610998	0.4959678518
60	0.8551962322	0.4949975784
61	0.8553899361	0.4939952994
62	0.8556264588	0.4931319219
63	0.8557744708	0.4922685814
64	0.8558776251	0.4914448193
65	0.8560171104	0.4907373072
66	0.8561774491	0.4899752375
67	0.8562907983	0.4891990019
68	0.8564481711	0.4884943581
69	0.8565143456	0.4878754875
70	0.8565102676	0.487222727
71	0.8566876596	0.4864406516
72	0.8566771866	0.4859812323
73	0.8568687588	0.4852345508
74	0.8570711748	0.4846168618
75	0.857114735	0.4840560458
76	0.8573231752	0.4834101047
77	0.8574668312	0.4828157533
78	0.8576566425	0.4822244997
79	0.8577196658	0.4817581924
80	0.8578127178	0.4812144539
81	0.8579035455	0.4807967193
82	0.8580571184	0.4802870389
83	0.8581564727	0.4797290871
84	0.8581807552	0.479353933
85	0.8583776103	0.4789072834
86	0.8585067153	0.4785048812
87	0.8586253474	0.4780509362
88	0.858696712	0.4776361186
89	0.8588230366	0.477213084
90	0.8589542733	0.47674301
91	0.8591144265	0.4763153571
92	0.8592638288	0.4758555045
93	0.8594124896	0.475439246
94	0.8595472482	0.47494965
95	0.8597293669	0.4744970286
96	0.8597143526	0.4742144975
97	0.8597516104	0.4739581998
98	0.85984596	0.4735549638
99	0.8599334511	0.4732157337
100	0.8600316933	0.4729014283
101	0.8601154772	0.4725955365
102	0.860215573	0.4723033363
103	0.8603485706	0.4719194507
104	0.8605085385	0.4714592491
105	0.8606475605	0.4711263653
106	0.8607002961	0.4708132251
107	0.8607518269	0.4704975865
108	0.8608680493	0.4701513754
109	0.861028944	0.4697862497
110	0.8610956745	0.4694883903
111	0.8612285795	0.4691908061
112	0.8613335874	0.4689115034
113	0.8614048593	0.468646095
114	0.8615136672	0.4683168524
115	0.8616094996	0.4680337597
116	0.8617529703	0.46771094
117	0.8618145106	0.4674389412
118	0.8618800363	0.4671664936
119	0.8620073804	0.4668447527
120	0.8621341684	0.4665742232
121	0.8622381568	0.4662730619
122	0.8622733757	0.4661357385
123	0.8623008094	0.4659816985
124	0.8623907102	0.4657635666
125	0.8624316754	0.465558693
126	0.8624826501	0.4654068496
127	0.8625587414	0.4651382027
128	0.8627012852	0.4648549334
129	0.8627670889	0.4645996121
130	0.8628773797	0.4643572531
131	0.862932247	0.4642081175
132	0.8629730268	0.4640286837
133	0.8630039823	0.4638930403
134	0.8630953661	0.4637137113
135	0.863192218	0.4635035517
136	0.8633447714	0.4632272857
137	0.863421975	0.4630446117
138	0.8636141033	0.4627328443
139	0.8637481204	0.4624985216
140	0.8637523838	0.4623557132
141	0.8638556307	0.462174838
142	0.8638884399	0.4620448576
143	0.8639545217	0.4618733908
144	0.864150728	0.4615865012
145	0.8642009612	0.4614474412
146	0.864296979	0.4612904945
147	0.8643959627	0.4610944379
148	0.8645099606	0.4609069831
149	0.8645682572	0.460761734
