iter	Passed	Remaining
0	226	33752
1	459	33973
2	686	33629
3	890	32512
4	1082	31391
5	1344	32270
6	1563	31942
7	1764	31313
8	1976	30960
9	2185	30602
10	2399	30318
11	2595	29853
12	2789	29396
13	2968	28839
14	3166	28500
15	3381	28320
16	3601	28178
17	3799	27863
18	3989	27505
19	4187	27218
20	4408	27078
21	4614	26850
22	4823	26634
23	5013	26321
24	5213	26066
25	5423	25865
26	5619	25601
27	5916	25780
28	6101	25458
29	6300	25200
30	6511	24994
31	6701	24710
32	6892	24436
33	7114	24272
34	7330	24085
35	7551	23914
36	7755	23685
37	7940	23402
38	8202	23345
39	8411	23132
40	8613	22898
41	8817	22673
42	9026	22460
43	9242	22265
44	9447	22043
45	9657	21834
46	9869	21628
47	10060	21379
48	10296	21223
49	10521	21043
50	10709	20788
51	10895	20533
52	11114	20342
53	11298	20086
54	11487	19842
55	11677	19601
56	11853	19339
57	12054	19121
58	12253	18900
59	12432	18648
60	12616	18407
61	12825	18204
62	13029	17993
63	13218	17762
64	13421	17551
65	13599	17308
66	13813	17112
67	14008	16893
68	14216	16689
69	14421	16481
70	14578	16221
71	14778	16010
72	14981	15802
73	15200	15611
74	15405	15405
75	15626	15214
76	15810	14989
77	16003	14772
78	16221	14578
79	16379	14331
80	16569	14114
81	16747	13887
82	16949	13682
83	17229	13537
84	17405	13309
85	17634	13123
86	17813	12899
87	18003	12684
88	18192	12469
89	18391	12260
90	18573	12042
91	18763	11828
92	18958	11619
93	19158	11413
94	19353	11204
95	19563	11004
96	19774	10804
97	19935	10578
98	20132	10371
99	20332	10166
100	20513	9952
101	20704	9743
102	20947	9558
103	21124	9343
104	21314	9134
105	21502	8925
106	21735	8734
107	21922	8525
108	22113	8317
109	22311	8113
110	22525	7914
111	22728	7711
112	22925	7506
113	23135	7306
114	23323	7098
115	23516	6892
116	23685	6680
117	23895	6480
118	24084	6274
119	24277	6069
120	24474	5865
121	24660	5659
122	24838	5452
123	25030	5248
124	25206	5041
125	25360	4830
126	25535	4624
127	25716	4420
128	25892	4215
129	26115	4017
130	26312	3816
131	26476	3610
132	26669	3408
133	26864	3207
134	27077	3008
135	27277	2807
136	27464	2606
137	27626	2402
138	27848	2203
139	28054	2003
140	28195	1799
141	28431	1601
142	28617	1400
143	28814	1200
144	29035	1001
145	29212	800
146	29407	600
147	29585	399
148	29799	199
149	29983	0
